post_id,platform,content_type,topic,language,region,post_datetime,hashtags,sentiment_score,views,likes,comments,shares,engagement_rate,is_viral,post_date,post_time,followers,engagement_level,follower_category,creator_id
1,LinkedIn,article,Technology,UR,BR,"2025-04-25 09:47:00","#AI #Innovation #TechTrends #Programming #CodingLife #DataScience #MachineLearning",0.76,37781,1202,462,185,0.049,0,2025-04-25,09:47:00,490,LOW,SMALL,5
2,LinkedIn,poll,Health,FR,JP,"2025-10-29 09:44:00","#Fitness #Nutrition #Wellness #Health #MentalHealth #HealthTips",0.46,23541,1399,538,215,0.0915,1,2025-10-29,09:44:00,915,LOW,SMALL,5
3,LinkedIn,article,Travel,HI,FR,"2025-02-10 14:12:00","#Travel #Journey #Adventure #Tourism #ExploreMore #Wanderlust",-0.01,30714,1663,639,255,0.0833,1,2025-02-10,14:12:00,833,LOW,SMALL,5
4,LinkedIn,image,Sports,DE,DE,"2025-04-18 22:41:00","#Cricket #Workout #Fitness",0.55,31294,1372,528,211,0.0675,0,2025-04-18,22:41:00,675,LOW,SMALL,5
5,LinkedIn,poll,Business,DE,US,"2025-04-28 10:17:00","#Entrepreneur #Leadership #StartupLife",0.7,43129,2234,859,343,0.0797,0,2025-04-28,10:17:00,796,LOW,SMALL,5
6,LinkedIn,image,Sports,FR,AU,"2025-10-03 15:25:00","#Fitness #Training #Cricket #Basketball #Sports",0.23,11016,633,243,97,0.0885,1,2025-10-03,15:25:00,885,LOW,SMALL,5
7,LinkedIn,carousel,Food,HI,FR,"2025-07-15 15:16:00","#Food #MustTry #Cooking #Recipe #Foodie #FoodBlog",0.49,1212,104,40,16,0.1323,1,2025-07-15,15:16:00,1323,LOW,SMALL,5
8,LinkedIn,image,Fashion,ES,AU,"2025-02-24 09:40:00","#FashionTips #Style #Lookbook #TrendingStyle #Fashion #OOTD",0.69,8331,737,283,113,0.1363,1,2025-02-24,09:40:00,1363,LOW,SMALL,5
9,LinkedIn,image,Business,EN,BR,"2025-10-18 02:31:00","#Leadership #Entrepreneur #Hustle",0.97,11821,460,177,70,0.06,0,2025-10-18,02:31:00,600,LOW,SMALL,5
10,LinkedIn,poll,Health,FR,AU,"2025-12-20 14:42:00","#Fitness #MentalHealth #HealthTips #Health #Nutrition #Wellness",0.41,37301,1170,450,180,0.0483,0,2025-12-20,14:42:00,483,LOW,SMALL,5
11,LinkedIn,video,Technology,HI,US,"2025-04-28 09:04:00","#MachineLearning #DataScience #TechTrends #Programming #CodingLife #AI #Innovation",0.68,27677,845,325,130,0.047,0,2025-04-28,09:04:00,470,LOW,SMALL,5
12,LinkedIn,article,Health,DE,FR,"2025-07-30 09:41:00","#Health #Nutrition #MentalHealth #Fitness #Wellness #HealthTips",0.51,30400,774,298,119,0.0392,0,2025-07-30,09:41:00,392,LOW,SMALL,5
13,LinkedIn,video,Lifestyle,JA,BR,"2025-02-08 09:41:00","#Lifestyle #MindfulLiving #DailyLife #Wellness #Positivity #Motivation",0.92,4842,146,56,22,0.0465,0,2025-02-08,09:41:00,465,LOW,SMALL,5
14,LinkedIn,article,Health,UR,JP,"2025-05-27 15:12:00","#Wellness #Health #HealthTips #Fitness #Nutrition",0.75,33954,3025,1163,465,0.1371,1,2025-05-27,15:12:00,1371,LOW,SMALL,5
15,LinkedIn,poll,Sports,EN,AU,"2025-02-11 02:04:00","#Training #Fitness #Basketball #Sports #Football #Cricket #Workout",0.65,39251,2332,897,358,0.0914,1,2025-02-11,02:04:00,914,LOW,SMALL,5
16,LinkedIn,image,Lifestyle,FR,DE,"2025-05-03 10:41:00","#Positivity #Motivation #Lifestyle #MindfulLiving #DailyLife",0.74,7552,163,63,25,0.0334,0,2025-05-03,10:41:00,334,LOW,SMALL,5
17,LinkedIn,video,Fashion,UR,MX,"2025-06-28 07:18:00","#TrendingStyle #FashionTips #OOTD #Lookbook",-0.27,35664,442,170,68,0.0191,0,2025-06-28,07:18:00,191,LOW,SMALL,5
18,LinkedIn,poll,Lifestyle,HI,MX,"2025-05-16 09:35:00","#Motivation #MindfulLiving #DailyLife #Wellness",0.81,18300,1042,401,160,0.0877,1,2025-05-16,09:35:00,877,LOW,SMALL,5
19,LinkedIn,image,Technology,HI,FR,"2025-05-22 14:40:00","#MachineLearning #CodingLife #TechTrends #Innovation #DataScience",0.45,46286,3769,1449,579,0.1253,1,2025-05-22,14:40:00,1253,LOW,SMALL,5
20,LinkedIn,poll,Technology,DE,CA,"2025-10-10 10:19:00","#Programming #AI #DataScience #MachineLearning #Innovation",0.46,37692,3022,1162,465,0.1234,1,2025-10-10,10:19:00,1234,LOW,SMALL,5
21,LinkedIn,carousel,Food,ES,BR,"2025-03-25 05:01:00","#MustTry #Cooking #Recipe #FoodBlog",0.21,18485,458,176,70,0.0382,0,2025-03-25,05:01:00,382,LOW,SMALL,5
22,LinkedIn,article,Health,EN,JP,"2025-04-24 15:19:00","#Wellness #Health #Nutrition #MentalHealth",0.92,19292,881,339,135,0.0703,0,2025-04-24,15:19:00,703,LOW,SMALL,5
23,LinkedIn,poll,Health,DE,US,"2025-03-01 08:37:00","#Health #Nutrition #MentalHealth #Wellness #Fitness",0.99,8578,423,162,65,0.0759,0,2025-03-01,08:37:00,759,LOW,SMALL,5
24,LinkedIn,poll,Business,UR,US,"2025-12-29 10:27:00","#Hustle #StartupLife #Leadership",0.47,20681,1084,417,166,0.0807,1,2025-12-29,10:27:00,806,LOW,SMALL,5
25,LinkedIn,carousel,Education,PT,UK,"2025-10-11 15:24:00","#Certification #Education #Knowledge #AcademicSuccess #Learning #StudyTips",0.66,39009,2449,942,376,0.0966,1,2025-10-11,15:24:00,966,LOW,SMALL,5
26,LinkedIn,image,Travel,JA,JP,"2025-12-12 15:10:00","#Travel #Wanderlust #ExploreMore #Journey #Tourism #Adventure",0.52,2600,48,18,7,0.0285,0,2025-12-12,15:10:00,285,LOW,SMALL,5
27,LinkedIn,carousel,Food,HI,JP,"2025-08-01 18:45:00","#Recipe #MustTry #FoodBlog #Food #Cooking #Foodie",0.23,7985,542,208,83,0.1046,1,2025-08-01,18:45:00,1046,LOW,SMALL,5
28,LinkedIn,video,Sports,JA,US,"2025-10-13 09:08:00","#Workout #Cricket #Training #Football #Fitness #Basketball",0.07,11430,715,275,110,0.0963,1,2025-10-13,09:08:00,963,LOW,SMALL,5
29,LinkedIn,carousel,Travel,UR,BR,"2025-11-23 15:15:00","#Tourism #Travel #Wanderlust #ExploreMore #Adventure",0.94,6280,176,68,27,0.0434,0,2025-11-23,15:15:00,434,LOW,SMALL,5
30,LinkedIn,video,Health,ES,BR,"2025-02-02 14:29:00","#Health #Wellness #MentalHealth #HealthTips #Nutrition #Fitness",0.97,20569,1645,632,253,0.1231,1,2025-02-02,14:29:00,1231,LOW,SMALL,5
31,LinkedIn,carousel,Fashion,FR,JP,"2025-04-23 15:24:00","#Lookbook #TrendingStyle #Style #FashionTips #Fashion",-0.52,26822,1164,448,179,0.0668,0,2025-04-23,15:24:00,668,LOW,SMALL,5
32,LinkedIn,article,Entertainment,PT,MX,"2025-08-25 14:20:00","#FollowForMore #Trending #MovieTime #ShowBiz",0.97,28627,1086,417,167,0.0584,0,2025-08-25,14:20:00,584,LOW,SMALL,5
33,LinkedIn,article,Travel,EN,AU,"2025-01-27 11:41:00","#Journey #Travel #ExploreMore",-0.82,2335,93,36,14,0.0619,0,2025-01-27,11:41:00,619,LOW,SMALL,5
34,LinkedIn,video,Sports,JA,IN,"2025-10-16 14:16:00","#Fitness #Cricket #Workout #Sports #Basketball",-0.9,2682,143,55,22,0.0824,1,2025-10-16,14:16:00,824,LOW,SMALL,5
35,LinkedIn,poll,Health,PT,BR,"2025-02-08 10:44:00","#Nutrition #HealthTips #Health #Fitness #MentalHealth",0.66,25285,529,203,81,0.0322,0,2025-02-08,10:44:00,322,LOW,SMALL,5
36,LinkedIn,image,Technology,PT,JP,"2025-02-24 14:57:00","#CodingLife #MachineLearning #TechTrends #Programming #DataScience #Innovation",0.95,32686,1814,698,279,0.0854,1,2025-02-24,14:57:00,854,LOW,SMALL,5
37,LinkedIn,poll,Lifestyle,DE,BR,"2025-02-14 15:48:00","#Wellness #MindfulLiving #Positivity #DailyLife #Lifestyle #Motivation",-0.11,14901,519,199,79,0.0537,0,2025-02-14,15:48:00,537,LOW,SMALL,5
38,LinkedIn,image,Education,UR,CA,"2025-12-26 17:33:00","#Learning #Education #StudyTips #AcademicSuccess",0.54,32201,2057,791,316,0.0983,1,2025-12-26,17:33:00,983,LOW,SMALL,5
